
=== Missing-Fill Actions 2025-06-03 15:08:37.471794 ===
App ID 6030 filled columns: ['about_the_game']
App ID 207650 filled columns: ['about_the_game']
App ID 244770 filled columns: ['about_the_game']
App ID 263120 filled columns: ['about_the_game']
App ID 289130 filled columns: ['about_the_game']
App ID 290890 filled columns: ['about_the_game']
App ID 310790 filled columns: ['about_the_game']
App ID 311260 filled columns: ['about_the_game']
App ID 317610 filled columns: ['about_the_game']
App ID 327210 filled columns: ['about_the_game']
App ID 340030 filled columns: ['about_the_game']
App ID 340330 filled columns: ['about_the_game']
App ID 356270 filled columns: ['about_the_game']
App ID 363150 filled columns: ['about_the_game']
App ID 369030 filled columns: ['about_the_game']
App ID 375390 filled columns: ['about_the_game']
App ID 385360 filled columns: ['about_the_game']
App ID 391120 filled columns: ['about_the_game']
App ID 397320 filled columns: ['about_the_game']
App ID 416360 filled columns: ['about_the_game']
App ID 420060 filled columns: ['about_the_game']
App ID 436530 filled columns: ['about_the_game']
App ID 447240 filled columns: ['about_the_game']
App ID 473720 filled columns: ['about_the_game']
App ID 495290 filled columns: ['about_the_game']
App ID 509530 filled columns: ['about_the_game']
App ID 529780 filled columns: ['about_the_game']
App ID 533890 filled columns: ['about_the_game']
App ID 541570 filled columns: ['about_the_game']
App ID 546050 filled columns: ['about_the_game']
App ID 548570 filled columns: ['about_the_game']
App ID 571740 filled columns: ['about_the_game']
App ID 596910 filled columns: ['about_the_game']
App ID 618210 filled columns: ['about_the_game']
App ID 618470 filled columns: ['about_the_game']
App ID 638310 filled columns: ['about_the_game']
App ID 674090 filled columns: ['about_the_game']
App ID 704700 filled columns: ['about_the_game']
App ID 732850 filled columns: ['about_the_game']
App ID 733510 filled columns: ['about_the_game']
App ID 735520 filled columns: ['about_the_game']
App ID 763650 filled columns: ['about_the_game']
App ID 778540 filled columns: ['about_the_game']
App ID 816200 filled columns: ['about_the_game']
App ID 837940 filled columns: ['about_the_game']
App ID 853450 filled columns: ['about_the_game']
App ID 864450 filled columns: ['about_the_game']
App ID 865870 filled columns: ['about_the_game']
App ID 873050 filled columns: ['about_the_game']
App ID 878320 filled columns: ['about_the_game']
App ID 882440 filled columns: ['about_the_game']
App ID 883870 filled columns: ['about_the_game']
App ID 915300 filled columns: ['about_the_game']
App ID 917050 filled columns: ['about_the_game']
App ID 940790 filled columns: ['about_the_game']
App ID 952100 filled columns: ['about_the_game']
App ID 954650 filled columns: ['about_the_game']
App ID 968580 filled columns: ['about_the_game']
App ID 975230 filled columns: ['about_the_game']
App ID 992730 filled columns: ['about_the_game']
App ID 1005300 filled columns: ['about_the_game']
App ID 1014610 filled columns: ['about_the_game']
App ID 1025200 filled columns: ['about_the_game']
App ID 1035930 filled columns: ['about_the_game']
App ID 1048160 filled columns: ['about_the_game']
App ID 1057700 filled columns: ['about_the_game']
App ID 1060770 filled columns: ['about_the_game']
App ID 1063130 filled columns: ['about_the_game']
App ID 1071900 filled columns: ['about_the_game']
App ID 1093870 filled columns: ['about_the_game']
App ID 1095370 filled columns: ['about_the_game']
App ID 1095450 filled columns: ['about_the_game']
App ID 1110720 filled columns: ['about_the_game']
App ID 1154730 filled columns: ['about_the_game']
App ID 1159340 filled columns: ['about_the_game']
App ID 1167180 filled columns: ['about_the_game']
App ID 1173740 filled columns: ['about_the_game']
App ID 1186260 filled columns: ['about_the_game']
App ID 1193730 filled columns: ['about_the_game']
App ID 1198520 filled columns: ['about_the_game']
App ID 1212960 filled columns: ['about_the_game']
App ID 1225740 filled columns: ['about_the_game']
App ID 1233040 filled columns: ['about_the_game']
App ID 1240350 filled columns: ['about_the_game']
App ID 1254140 filled columns: ['about_the_game']
App ID 1275660 filled columns: ['about_the_game']
App ID 1277640 filled columns: ['about_the_game']
App ID 1311240 filled columns: ['about_the_game']
App ID 1318420 filled columns: ['about_the_game']
App ID 1329130 filled columns: ['about_the_game']
App ID 1330300 filled columns: ['about_the_game']
App ID 1373390 filled columns: ['about_the_game']
App ID 1378250 filled columns: ['about_the_game']
App ID 1388280 filled columns: ['about_the_game']
App ID 1393830 filled columns: ['about_the_game']
App ID 1399940 filled columns: ['about_the_game']
App ID 1412820 filled columns: ['about_the_game']
App ID 1418320 filled columns: ['about_the_game']
App ID 1437280 filled columns: ['about_the_game']
App ID 1449470 filled columns: ['about_the_game']
App ID 1450240 filled columns: ['about_the_game']
App ID 1469350 filled columns: ['about_the_game']
App ID 1469370 filled columns: ['about_the_game']
App ID 1471040 filled columns: ['about_the_game']
App ID 1495620 filled columns: ['about_the_game']
App ID 1522850 filled columns: ['about_the_game']
App ID 1530150 filled columns: ['about_the_game']
App ID 1533570 filled columns: ['about_the_game']
App ID 1543090 filled columns: ['about_the_game']
App ID 1577860 filled columns: ['about_the_game']
App ID 1595230 filled columns: ['about_the_game']
App ID 1600750 filled columns: ['about_the_game']
App ID 1660300 filled columns: ['about_the_game']
App ID 1670440 filled columns: ['about_the_game']
App ID 1688200 filled columns: ['about_the_game']
App ID 1734680 filled columns: ['about_the_game']
App ID 1751630 filled columns: ['about_the_game']
App ID 1772650 filled columns: ['about_the_game']
App ID 1781870 filled columns: ['about_the_game']
App ID 1814630 filled columns: ['about_the_game']
App ID 1815540 filled columns: ['about_the_game']
App ID 1833820 filled columns: ['about_the_game']
