app_id,about_the_game,achievements_total,background_image,coming_soon,content_descriptors,controller_support,detailed_description,developer,developers,discount_percent,dlc_count,dlc_list,first_movie_url,first_screenshot_url,header_image,legal_notice,metacritic_score,metacritic_url,movies_count,name,package_groups,pc_requirements_min,pc_requirements_rec,platforms_linux,platforms_mac,platforms_windows,price_currency,price_final,price_initial,price_usd_final,price_usd_original,publisher,publishers,recommendations,recommendations_total,release_date,required_age,screenshots_count,short_description,steam_url,support_email,support_url,supported_languages,type,website,steamspy_name,steamspy_developer,steamspy_publisher,steamspy_positive,steamspy_negative,steamspy_owners,steamspy_ccu,steamspy_owners_low,steamspy_owners_high,steamspy_owners_mid,genres_Action,genres_Adventure,genres_Animation & Modeling,genres_Audio Production,genres_Casual,genres_Design & Illustration,genres_Early Access,genres_Education,genres_Free To Play,genres_Game Development,genres_Indie,genres_Massively Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Sports,genres_Strategy,genres_Utilities,platforms_linux.1,platforms_mac.1,platforms_windows.1,categories_Captions available,categories_Co-op,categories_Commentary available,categories_Cross-Platform Multiplayer,categories_Family Sharing,categories_Full controller support,categories_HDR available,categories_In-App Purchases,categories_Includes Source SDK,categories_Includes level editor,categories_LAN Co-op,categories_LAN PvP,categories_MMO,categories_Multi-player,categories_Online Co-op,categories_Online PvP,categories_Partial Controller Support,categories_PvP,categories_Remote Play Together,categories_Remote Play on Phone,categories_Remote Play on TV,categories_Remote Play on Tablet,categories_Shared/Split Screen,categories_Shared/Split Screen Co-op,categories_Shared/Split Screen PvP,categories_Single-player,categories_Stats,categories_Steam Achievements,categories_Steam Cloud,categories_Steam Leaderboards,categories_Steam Timeline,categories_Steam Trading Cards,categories_Steam Workshop,categories_Tracked Controller Support,categories_VR Only,categories_VR Supported,steamspy_score_rank,steamspy_average_playtime,steamspy_median_playtime,steamspy_players_forever,steamspy_players_2weeks
220,0,0.0,0,0,0,0,0,0,Valve,0.0,1.0,0,0,0,0,0,96.0,0,2.0,Half-Life 2,0,0,0,True,False,True,0,9.99,9.99,0.0,0.0,0,Valve,0.0,180709.0,"Nov 16, 2004",0,20.0,"Reawakened from stasis in the occupied metropolis of City 17, Gordon Freeman is joined by Alyx Vance as he leads a desperate human resistance. Experience the landmark first-person shooter packed with immersive world-building, boundary-pushing physics, and exhilarating combat.",https://store.steampowered.com/app/220/,0,0,0,game,0,Half-Life 2,Valve,Valve,239400,5899,"10,000,000 .. 20,000,000",2828,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,,,,,
3270,0,0.0,0,0,0,0,0,0,Mindware Studios,0.0,0.0,0,0,0,0,0,65.0,0,0.0,Painkiller Overdose,0,0,0,False,False,True,0,4.99,4.99,0.0,0.0,0,Prime Matter,0.0,869.0,"Oct 30, 2007",17,15.0,"The critically-acclaimed and award-winning FPS franchise is back! Packed with tons of fast-paced, adrenaline-fueled single player and multiplayer action, Painkiller Overdose brings with it 6 innovative new demonic weapons, mind-bending physics, lightning-player maps, over 40 demented and sickly-twisted monsters from Hell and gigantic end...",https://store.steampowered.com/app/3270/,0,0,0,game,0,Painkiller Overdose,Mindware Studios,Prime Matter,802,311,"100,000 .. 200,000",2,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
3500,0,0.0,0,0,0,0,0,0,SpinTop Games,0.0,0.0,0,0,0,0,0,,0,0.0,Mystery P.I.™ - The Lottery Ticket,0,0,0,False,False,True,0,4.99,4.99,0.0,0.0,0,"PopCap Games, Inc.",0.0,,"Oct 16, 2007",0,5.0,You are the world-famous Mystery P.I. and you've been hired by Grandma Rose to find her $488 million dollar winning lottery ticket that has gone missing! Retrace Grandma's steps to collect clues by finding hidden objects and solving puzzles. Search the city for the clues and piece them together to solve the case.,https://store.steampowered.com/app/3500/,0,0,0,game,0,Mystery P.I. - The Lottery Ticket,SpinTop Games,"PopCap Games, Inc.",53,11,"20,000 .. 50,000",4,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
4000,0,0.0,0,0,0,0,0,0,Facepunch Studios,40.0,0.0,0,0,0,0,0,,0,0.0,Garry's Mod,0,0,0,True,True,True,0,5.99,9.99,0.0,0.0,0,Valve,0.0,997960.0,"Nov 29, 2006",0,20.0,Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.,https://store.steampowered.com/app/4000/,0,0,0,game,0,Garry's Mod,Facepunch Studios,Valve,1121677,37117,"20,000,000 .. 50,000,000",32795,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,,,,,
6030,"The Legacy of Star Wars Dark Forces™ and Star Wars® Jedi Knight lives on in the intense first-person action of Jedi Outcast.<br>			<ul class=""bb_ul""><li>As Kyle Katarn, agent of the New Republic, use your Lightsaber and the full power of the Force to combat a new evil plaguing the galaxy.<br>			</li><li>Wield over 8 Force abilities including the Jedi Mind Trick, Force Lightning and Force Grip.<br>			</li><li>Choose wisely from an arsenal of 13 weapons including disruptor rifle, thermal detonators, trip mines and Wookiee bowcaster.<br>			</li><li>Play on-line with 2-32 players or against a variety of AI Bots - and gain an additional 7 Force powers.<br>			</li><li>Test your skills in 24 single-player missions and in 6 different types of multiplayer games including Jedi Master, Holocron, Capture the Ysalamiri, Duel, Deathmatch and Capture the Flag.<br>			</li><li>Interact with legendary Star Wars characters such as Luke Skywalker and Lando Calrissian (featuring the voice of Billy Dee Williams as Lando.)<br>			</li><li>Developed by critically acclaimed Raven Studios and powered by the Quake III Arena engine.<br>			</li></ul>",,,,,,,Raven Software,,0.0,,,,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/6030/header.jpg?t=1741814017,,89.0,,,STAR WARS™ Jedi Knight II - Jedi Outcast™,,,,,,,,,,9.99,9.99,"LucasArts, Lucasfilm, Disney",,3838.0,,"Sep 16, 2009",0,,The Legacy of Star Wars Dark Forces™ and Star Wars® Jedi Knight lives on in the intense first-person action of Jedi Outcast.,https://store.steampowered.com/app/6030/,,,"English<strong>*</strong>, French<strong>*</strong>, German<strong>*</strong>, Spanish - Spain, Traditional Chinese<br><strong>*</strong>languages with full audio support",,,STAR WARS Jedi Knight II - Jedi Outcast,Raven Software,"LucasArts, Lucasfilm, Disney",4275,413,"500,000 .. 1,000,000",46,500000.0,1000000.0,750000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
12590,0,0.0,0,0,0,0,0,0,BigAnt Studios,0.0,0.0,0,0,0,0,0,,0,0.0,Sprint Cars Road to Knoxville,0,0,0,False,False,True,0,9.99,9.99,0.0,0.0,0,Cosmi Valusoft,0.0,,"Jul 29, 2008",0,6.0,"Buckle up. You're going for a ride. Race at speeds over 140 MPH on dirt, on the proving grounds for today's top professional drivers. Shoulder to shoulder sprint car racing makes for spectacular crashes, and white-knuckle driving. Start out as a small town star and work your way up through the ranks to become a national legend.",https://store.steampowered.com/app/12590/,0,0,0,game,0,Sprint Cars Road to Knoxville,BigAnt Studios,Cosmi Valusoft,35,29,"20,000 .. 50,000",0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
15270,0,0.0,0,0,0,0,0,0,Darkworks,0.0,0.0,0,0,0,0,0,66.0,0,0.0,Cold Fear™,0,0,0,False,False,True,0,9.99,9.99,0.0,0.0,0,Ubisoft,0.0,1209.0,"May 13, 2008",17,9.0,"In a ferocious Arctic storm, distress signals are sent from a mysterious Russian whaler. As leading Coast Guard veteran Tom Hansen, you board to investigate  and discover unthinkable horrors lurking beneath the ship's bloodstained decks.",https://store.steampowered.com/app/15270/,0,0,0,game,0,Cold Fear,Darkworks,Ubisoft,1076,207,"50,000 .. 100,000",7,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
15400,0,0.0,0,0,0,0,0,0,Oxeye Game Studio,0.0,0.0,0,0,0,0,0,,0,0.0,Harvest: Massive Encounter,0,0,0,True,True,True,0,7.99,7.99,0.0,0.0,0,Oxeye Game Studio,0.0,127.0,"Jan 23, 2009",0,9.0,"Harvest: Massive Encounter is an award-winning real-time strategy game with battles of epic proportions and a unique style of resource management and exploration. Build power plants, mineral harvesters and defense towers and make sure they have sufficient energy to fend off endless hordes of evil aliens.",https://store.steampowered.com/app/15400/,0,0,0,game,0,Harvest: Massive Encounter,Oxeye Game Studio,Oxeye Game Studio,122,34,"50,000 .. 100,000",0,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,
21660,0,0.0,0,0,0,0,0,0,Capcom,,0.0,0,0,0,0,0,91.0,0,0.0,Street Fighter® IV,0,0,0,False,False,True,0,,,0.0,0.0,0,Capcom,0.0,473.0,"Jul 7, 2009",0,17.0,"Street Fighter® IV brings the legendary fighting series back to its roots by taking the beloved fighting moves and techniques of the original Street Fighter® II, and infusing them with Capcom's latest advancements in next generation technology.",https://store.steampowered.com/app/21660/,0,0,0,game,0,Street Fighter IV,Capcom,Capcom,353,174,"100,000 .. 200,000",0,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,
23150,0,0.0,0,0,0,0,0,0,Red Chain Games Ltd.,0.0,0.0,0,0,0,0,0,,0,0.0,Fluttabyes,0,0,0,False,False,True,0,1.99,1.99,0.0,0.0,0,Red Chain Games Ltd.,0.0,,"Apr 20, 2010",0,10.0,"Fluttabyes is a bright and cheerful &quot;Match 4&quot; game. Easy to pick up and play, and thoroughly addictive! Help the butterflies fly away by matching 4 or more of the same colour. If you match more than 6 butterflies you will earn a ladybird. If you match more than 9 butterflies, you will earn the magical rainbow butterfly!",https://store.steampowered.com/app/23150/,0,0,0,game,0,Fluttabyes,Red Chain Games Ltd.,Red Chain Games Ltd.,20,9,"0 .. 20,000",0,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,
